path,split,label
data/images/train/normal/0000.png,train,0
data/images/train/defect/0001.png,train,1
data/images/train/normal/0002.png,train,0
data/images/train/defect/0003.png,train,1
data/images/train/normal/0004.png,train,0
data/images/train/defect/0005.png,train,1
data/images/train/normal/0006.png,train,0
data/images/train/defect/0007.png,train,1
data/images/train/normal/0008.png,train,0
data/images/train/defect/0009.png,train,1
data/images/train/normal/0010.png,train,0
data/images/train/defect/0011.png,train,1
data/images/train/normal/0012.png,train,0
data/images/train/defect/0013.png,train,1
data/images/train/normal/0014.png,train,0
data/images/train/defect/0015.png,train,1
data/images/train/normal/0016.png,train,0
data/images/train/defect/0017.png,train,1
data/images/train/normal/0018.png,train,0
data/images/train/defect/0019.png,train,1
data/images/train/normal/0020.png,train,0
data/images/train/defect/0021.png,train,1
data/images/train/normal/0022.png,train,0
data/images/train/defect/0023.png,train,1
data/images/train/normal/0024.png,train,0
data/images/train/defect/0025.png,train,1
data/images/train/normal/0026.png,train,0
data/images/train/defect/0027.png,train,1
data/images/train/normal/0028.png,train,0
data/images/train/defect/0029.png,train,1
data/images/train/normal/0030.png,train,0
data/images/train/defect/0031.png,train,1
data/images/train/normal/0032.png,train,0
data/images/train/defect/0033.png,train,1
data/images/train/normal/0034.png,train,0
data/images/train/defect/0035.png,train,1
data/images/train/normal/0036.png,train,0
data/images/train/defect/0037.png,train,1
data/images/train/normal/0038.png,train,0
data/images/train/defect/0039.png,train,1
data/images/train/normal/0040.png,train,0
data/images/train/defect/0041.png,train,1
data/images/train/normal/0042.png,train,0
data/images/train/defect/0043.png,train,1
data/images/train/normal/0044.png,train,0
data/images/train/defect/0045.png,train,1
data/images/train/normal/0046.png,train,0
data/images/train/defect/0047.png,train,1
data/images/train/normal/0048.png,train,0
data/images/train/defect/0049.png,train,1
data/images/train/normal/0050.png,train,0
data/images/train/defect/0051.png,train,1
data/images/train/normal/0052.png,train,0
data/images/train/defect/0053.png,train,1
data/images/train/normal/0054.png,train,0
data/images/train/defect/0055.png,train,1
data/images/train/normal/0056.png,train,0
data/images/train/defect/0057.png,train,1
data/images/train/normal/0058.png,train,0
data/images/train/defect/0059.png,train,1
data/images/train/normal/0060.png,train,0
data/images/train/defect/0061.png,train,1
data/images/train/normal/0062.png,train,0
data/images/train/defect/0063.png,train,1
data/images/train/normal/0064.png,train,0
data/images/train/defect/0065.png,train,1
data/images/train/normal/0066.png,train,0
